Player,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Level
A.J. Lawson,22.0,15.0,5.0,10.0,108.3,56.0,22.0,44.0,50.0,10.0,25.0,40.0,2.0,8.0,25.0,6.0,15.0,21.0,2.0,3.0,2.0,0.0,11.0,87.0,0.0,0.0,-46.0,Faible
AJ Green,23.0,35.0,27.0,8.0,344.9,154.0,53.0,125.0,42.4,44.0,105.0,41.9,4.0,4.0,100.0,6.0,39.0,45.0,22.0,9.0,6.0,0.0,31.0,250.0,0.0,0.0,-26.0,Faible
AJ Griffin,19.0,72.0,34.0,38.0,1401.4,639.0,248.0,533.0,46.5,101.0,259.0,39.0,42.0,47.0,89.4,37.0,116.0,153.0,73.0,42.0,42.0,12.0,87.0,1052.0,0.0,0.0,63.0,Moyen
AJ Hammons,24.0,22.0,4.0,18.0,163.2,48.0,17.0,42.0,40.5,5.0,10.0,50.0,9.0,20.0,45.0,8.0,28.0,36.0,4.0,10.0,1.0,13.0,21.0,129.0,0.0,0.0,-5.0,Faible
AJ Price,27.0,37.0,15.666666666666666,21.33333333333333,566.9666666666667,206.0,77.0,198.66666666666663,39.16666666666666,30.33333333333333,93.0,29.53333333333333,21.666666666666668,29.33333333333333,48.56666666666666,9.0,43.0,52.0,88.0,28.33333333333333,13.666666666666666,1.0,31.0,416.0,0.3333333333333333,0.0,-42.333333333333336,Faible
Aaron Brooks,30.5,62.16666666666666,33.833333333333336,28.33333333333333,1104.9166666666667,477.1666666666667,176.16666666666666,425.3333333333333,41.41666666666666,65.33333333333333,173.16666666666666,37.23333333333333,59.5,72.66666666666667,79.48333333333333,22.33333333333333,73.16666666666667,95.5,155.5,83.33333333333333,32.833333333333336,9.5,113.66666666666669,868.6666666666666,0.5,0.0,-34.333333333333336,Moyen
Aaron Gordon,23.0,66.22222222222223,31.55555555555556,34.666666666666664,1925.6666666666667,888.4444444444445,337.1111111111111,713.7777777777778,47.12222222222223,71.88888888888889,221.33333333333331,31.83333333333333,142.33333333333334,207.33333333333331,69.03333333333333,111.66666666666669,305.6666666666667,417.3333333333333,168.44444444444446,98.88888888888889,49.22222222222222,42.888888888888886,131.33333333333334,1819.2222222222224,10.666666666666666,0.2222222222222222,49.44444444444444,Moyen
Aaron Gray,28.5,39.5,13.0,26.5,433.85,92.0,37.5,75.5,48.8,0.0,0.5,0.0,17.0,32.0,53.65,45.0,77.0,122.0,27.5,33.5,8.5,6.5,74.5,291.0,0.5,0.0,-85.5,Faible
Aaron Harrison,22.0,11.666666666666666,6.333333333333333,5.333333333333333,114.40000000000002,26.33333333333333,8.0,30.666666666666668,17.933333333333334,4.0,18.33333333333333,16.966666666666665,6.333333333333333,10.333333333333334,56.06666666666666,2.6666666666666665,11.333333333333334,14.0,5.333333333333333,2.333333333333333,5.0,0.6666666666666666,13.0,65.66666666666667,0.0,0.0,-28.0,Faible
Aaron Henry,22.0,6.0,6.0,0.0,17.0,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,7.0,0.0,0.0,-20.0,Faible
Aaron Holiday,24.0,61.6,33.8,27.8,1061.06,408.6,150.2,363.8,41.4,54.4,144.2,37.78,53.8,64.0,84.03999999999999,18.2,83.4,101.6,135.4,59.4,40.2,12.6,91.2,832.6,0.8,0.0,39.2,Moyen
Aaron Jackson,32.0,1.0,0.0,1.0,34.5,8.0,3.0,9.0,33.3,1.0,4.0,25.0,1.0,2.0,50.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,12.0,0.0,0.0,-10.0,Faible
Aaron Nesmith,22.0,57.0,28.0,29.0,1019.6666666666666,384.0,134.0,316.6666666666667,42.03333333333333,62.0,179.0,33.53333333333333,54.0,65.33333333333333,81.06666666666666,35.0,129.33333333333334,164.33333333333334,47.66666666666666,43.0,30.0,16.0,130.66666666666666,747.6666666666666,0.3333333333333333,0.0,-65.33333333333333,Moyen
Aaron Wiggins,23.5,60.0,25.0,35.0,1253.1,447.5,171.0,350.0,48.75,45.0,130.0,34.849999999999994,60.5,78.0,78.0,59.5,135.0,194.5,74.0,55.0,34.5,12.5,101.5,878.0,0.5,0.0,-113.0,Moyen
Abdel Nader,26.0,40.4,27.0,13.4,516.54,185.2,66.6,155.6,41.22,25.0,70.0,35.08,27.0,37.6,69.4,10.4,64.8,75.2,22.0,26.6,15.2,11.0,49.0,360.4,0.0,0.0,-64.4,Faible
