Player,PTS,Level
A.J. Lawson,56.0,Faible
AJ Green,154.0,Faible
AJ Griffin,639.0,Élevé
AJ Hammons,48.0,Faible
AJ Price,206.0,Faible
Aaron Brooks,477.1666666666667,Moyen
Aaron Gordon,888.4444444444445,Élevé
Aaron Gray,92.0,Faible
Aaron Harrison,26.33333333333333,
Aaron Henry,2.0,
Aaron Holiday,408.6,Moyen
Aaron Jackson,8.0,
Aaron Nesmith,384.0,Moyen
Aaron Wiggins,447.5,Moyen
Abdel Nader,185.2,Faible
Adam Mokoka,23.5,
Ade Murkey,0.0,
Admiral Schofield,133.33333333333334,Faible
Adonis Thomas,14.0,
Adreian Payne,107.25,Faible
Ahmad Caver,2.0,
Al Harrington,138.0,Faible
Al Horford,868.0909090909091,Élevé
Al Jefferson,902.6666666666666,Élevé
Al-Farouq Aminu,499.3333333333333,Élevé
Alan Anderson,390.6,Moyen
Alan Williams,103.25,Faible
Alec Burks,625.0909090909091,Élevé
Alec Peters,82.0,Faible
Aleem Ford,14.0,
Aleksej Pokusevski,369.0,Moyen
Alen Smailagic,43.5,
Alex Abrines,308.0,Moyen
Alex Caruso,293.3333333333333,Moyen
Alex Kirk,4.0,
Alex Len,441.4,Moyen
Alex Poythress,65.66666666666667,Faible
Alex Stepheson,22.0,
Alexey Shved,449.6666666666667,Moyen
Alexis Ajinca,332.5,Moyen
Alfonzo McKinnie,144.2,Faible
Alize Johnson,37.8,
Allen Crabbe,493.2857142857143,Élevé
Allonzo Trier,425.0,Moyen
Alondes Williams,0.0,
Alonzo Gee,335.4,Moyen
Alperen Sengun,900.5,Élevé
Amar'e Stoudemire,541.25,Élevé
Amida Brimah,13.0,
Amile Jefferson,21.0,
Amir Coffey,247.25,Moyen
Amir Johnson,563.7142857142857,Élevé
Anderson Varejao,220.5,Moyen
Andray Blatche,832.0,Élevé
Andre Dawkins,3.0,
Andre Drummond,939.7272727272727,Élevé
Andre Iguodala,413.27272727272725,Moyen
Andre Ingram,12.0,
Andre Miller,392.0,Moyen
Andre Roberson,197.42857142857144,Faible
Andrea Bargnani,433.75,Moyen
Andrei Kirilenko,340.0,Moyen
Andrew Bogut,232.7142857142857,Moyen
Andrew Bynum,225.0,Moyen
Andrew Goudelock,11.0,
Andrew Harrison,337.3333333333333,Moyen
Andrew Nembhard,709.0,Élevé
Andrew Nicholson,340.0,Moyen
Andrew White III,69.0,Faible
Andrew Wiggins,1350.2222222222222,Élevé
Andris Biedrins,13.5,
Anfernee Simons,690.0,Élevé
Angel Delgado,3.0,
Antawn Jamison,398.0,Moyen
Ante Zizic,224.66666666666663,Moyen
Anthony Bennett,164.5,Faible
Anthony Brown,53.66666666666666,Faible
Anthony Davis,1440.090909090909,Élevé
Anthony Edwards,1623.6666666666667,Élevé
Anthony Gill,151.66666666666666,Faible
Anthony Lamb,182.66666666666663,Faible
Anthony Morrow,448.2,Moyen
Anthony Randolph,174.5,Faible
Anthony Tolliver,357.55555555555554,Moyen
Antonio Blakeney,284.5,Moyen
Antonius Cleveland,17.0,
Anzejs Pasecniks,78.0,Faible
Archie Goodwin,260.0,Moyen
Arinze Onuaku,11.333333333333334,
Armoni Brooks,255.5,Moyen
Arnett Moultrie,105.0,Faible
Arnoldas Kulboka,0.0,
Aron Baynes,346.1111111111111,Moyen
Arron Afflalo,837.5,Élevé
Ashton Hagans,0.0,
Austin Daye,147.33333333333334,Faible
Austin Reaves,638.5,Élevé
Austin Rivers,545.0909090909091,Élevé
Avery Bradley,674.3,Élevé
Axel Toupane,33.666666666666664,
Ayo Dosunmu,683.0,Élevé
BJ Johnson,26.33333333333333,
Bam Adebayo,1024.3333333333333,Élevé
Ben Bentil,0.0,
Ben Gordon,429.3333333333333,Moyen
Ben Hansbrough,57.0,Faible
Ben McLemore,557.2222222222222,Élevé
Ben Moore,0.0,
Ben Simmons,934.6,Élevé
Bennedict Mathurin,1302.0,Élevé
Beno Udrih,355.0,Moyen
Bernard James,67.66666666666667,Faible
Billy Garrett,26.0,
Bismack Biyombo,340.90909090909093,Moyen
Blake Griffin,1027.2727272727273,Élevé
Blake Wesley,184.0,Faible
Boban Marjanovic,223.75,Moyen
Bobby Brown,56.0,Faible
Bobby Portis,751.0,Élevé
Bogdan Bogdanovic,876.1666666666666,Élevé
Bojan Bogdanovic,1146.2222222222222,Élevé
Bol Bol,194.0,Faible
