,precision,recall,f1-score,support
A.J. Lawson,0.0,0.0,0.0,0.0
AJ Green,0.0,0.0,0.0,0.0
AJ Griffin,0.0,0.0,0.0,1.0
AJ Hammons,0.0,0.0,0.0,0.0
AJ Price,0.0,0.0,0.0,0.0
Aaron Brooks,0.0,0.0,0.0,0.0
Aaron Gordon,0.25,0.5,0.3333333333333333,4.0
Aaron Gray,0.0,0.0,0.0,0.0
Aaron Harrison,0.0,0.0,0.0,2.0
Aaron Henry,0.0,0.0,0.0,0.0
Aaron Holiday,0.0,0.0,0.0,1.0
Aaron Jackson,0.0,0.0,0.0,1.0
Aaron Nesmith,0.0,0.0,0.0,0.0
Aaron Wiggins,0.0,0.0,0.0,0.0
Abdel Nader,0.14285714285714285,1.0,0.25,1.0
Adam Mokoka,0.0,0.0,0.0,1.0
Ade Murkey,0.0,0.0,0.0,0.0
Admiral Schofield,0.0,0.0,0.0,0.0
Adonis Thomas,0.0,0.0,0.0,1.0
Adreian Payne,0.0,0.0,0.0,2.0
Ahmad Caver,0.0,0.0,0.0,1.0
Al Harrington,0.0,0.0,0.0,0.0
Al Horford,0.15384615384615385,1.0,0.2666666666666667,2.0
Al Jefferson,0.0,0.0,0.0,0.0
Al-Farouq Aminu,0.5,0.3333333333333333,0.4,3.0
Alan Anderson,0.2,0.5,0.28571428571428575,2.0
Alan Williams,0.16666666666666666,1.0,0.2857142857142857,1.0
Alec Burks,0.0625,0.2,0.09523809523809523,5.0
Alec Peters,0.0,0.0,0.0,0.0
Aleksej Pokusevski,0.0,0.0,0.0,1.0
Alen Smailagic,0.0,0.0,0.0,0.0
Alex Abrines,0.3333333333333333,1.0,0.5,1.0
Alex Caruso,0.0,0.0,0.0,1.0
Alex Kirk,0.0,0.0,0.0,0.0
Alex Len,0.0,0.0,0.0,0.0
Alex Poythress,0.0,0.0,0.0,1.0
Alex Stepheson,0.0,0.0,0.0,0.0
Alexey Shved,0.0,0.0,0.0,0.0
Alexis Ajinca,0.25,0.5,0.3333333333333333,2.0
Alfonzo McKinnie,0.0,0.0,0.0,0.0
Alize Johnson,0.0,0.0,0.0,4.0
Allen Crabbe,0.14285714285714285,0.5,0.22222222222222224,2.0
Allonzo Trier,0.0,0.0,0.0,1.0
Alondes Williams,0.0,0.0,0.0,1.0
Alonzo Gee,0.0,0.0,0.0,2.0
Amar'e Stoudemire,1.0,1.0,1.0,1.0
Amida Brimah,0.0,0.0,0.0,1.0
Amile Jefferson,0.0,0.0,0.0,1.0
Amir Coffey,0.0,0.0,0.0,3.0
Amir Johnson,0.125,0.5,0.2,2.0
Anderson Varejao,0.0,0.0,0.0,1.0
Andray Blatche,0.0,0.0,0.0,0.0
Andre Dawkins,0.0,0.0,0.0,0.0
Andre Drummond,1.0,0.5714285714285714,0.7272727272727273,7.0
Andre Iguodala,0.0,0.0,0.0,3.0
Andre Miller,0.0,0.0,0.0,1.0
Andre Roberson,0.0,0.0,0.0,3.0
Andrei Kirilenko,0.0,0.0,0.0,1.0
Andrew Bogut,0.5,0.3333333333333333,0.4,3.0
Andrew Bynum,0.0,0.0,0.0,0.0
Andrew Goudelock,0.0,0.0,0.0,2.0
Andrew Harrison,0.0,0.0,0.0,1.0
Andrew Nembhard,0.0,0.0,0.0,0.0
Andrew Nicholson,0.0,0.0,0.0,4.0
Andrew White III,0.0,0.0,0.0,1.0
Andrew Wiggins,0.5,0.3333333333333333,0.4,3.0
Andris Biedrins,0.0,0.0,0.0,1.0
Anfernee Simons,0.0,0.0,0.0,1.0
Angel Delgado,0.0,0.0,0.0,1.0
Antawn Jamison,0.0,0.0,0.0,1.0
Ante Zizic,0.0,0.0,0.0,1.0
Anthony Bennett,0.0,0.0,0.0,1.0
Anthony Brown,0.0,0.0,0.0,3.0
Anthony Davis,0.0,0.0,0.0,2.0
Anthony Edwards,0.0,0.0,0.0,0.0
Anthony Gill,0.0,0.0,0.0,0.0
Anthony Lamb,0.0,0.0,0.0,2.0
Anthony Morrow,0.0,0.0,0.0,0.0
Anthony Randolph,0.0,0.0,0.0,1.0
Anthony Tolliver,0.25,0.5,0.3333333333333333,4.0
Antonio Blakeney,0.0,0.0,0.0,1.0
Antonius Cleveland,0.0,0.0,0.0,0.0
Anzejs Pasecniks,0.0,0.0,0.0,0.0
Archie Goodwin,0.0,0.0,0.0,2.0
Arinze Onuaku,0.0,0.0,0.0,1.0
Armoni Brooks,0.0,0.0,0.0,0.0
Arnett Moultrie,0.0,0.0,0.0,0.0
Arnoldas Kulboka,0.0,0.0,0.0,0.0
Aron Baynes,0.16666666666666666,1.0,0.2857142857142857,2.0
Arron Afflalo,0.0,0.0,0.0,4.0
Austin Daye,0.0,0.0,0.0,1.0
Austin Reaves,0.0,0.0,0.0,0.0
Austin Rivers,0.3,0.5,0.37499999999999994,6.0
Avery Bradley,0.0,0.0,0.0,4.0
Axel Toupane,0.0,0.0,0.0,0.0
Ayo Dosunmu,0.0,0.0,0.0,0.0
BJ Johnson,0.0,0.0,0.0,2.0
Bam Adebayo,0.0,0.0,0.0,5.0
Ben Bentil,0.0,0.0,0.0,1.0
Ben Gordon,0.0,0.0,0.0,1.0
Ben Hansbrough,0.0,0.0,0.0,0.0
Ben McLemore,0.0,0.0,0.0,1.0
Ben Moore,0.0,0.0,0.0,0.0
Ben Simmons,1.0,1.0,1.0,2.0
Beno Udrih,0.0,0.0,0.0,1.0
Bernard James,0.0,0.0,0.0,1.0
Billy Garrett,0.0,0.0,0.0,0.0
Bismack Biyombo,0.0,0.0,0.0,1.0
Blake Griffin,0.06666666666666667,0.3333333333333333,0.1111111111111111,3.0
Blake Wesley,0.0,0.0,0.0,0.0
Boban Marjanovic,0.4,0.6666666666666666,0.5,3.0
Bobby Brown,0.0,0.0,0.0,1.0
Bobby Portis,0.0,0.0,0.0,2.0
Bogdan Bogdanovic,0.0,0.0,0.0,1.0
Bojan Bogdanovic,0.2,1.0,0.33333333333333337,2.0
Bol Bol,0.0,0.0,0.0,1.0
Bonzie Colson,0.0,0.0,0.0,0.0
Boris Diaw,0.5,0.5,0.5,2.0
Brad Wanamaker,0.0,0.0,0.0,1.0
Bradley Beal,0.1,0.5,0.16666666666666669,2.0
Brandan Wright,0.16666666666666666,1.0,0.2857142857142857,1.0
Branden Dawson,0.0,0.0,0.0,0.0
Brandon Bass,0.0,0.0,0.0,0.0
Brandon Boston Jr.,0.0,0.0,0.0,1.0
Brandon Clarke,0.0,0.0,0.0,2.0
Brandon Davies,0.0,0.0,0.0,0.0
Brandon Goodwin,0.0,0.0,0.0,0.0
Brandon Ingram,0.5,0.2,0.28571428571428575,5.0
Brandon Jennings,0.0,0.0,0.0,1.0
Brandon Knight,0.0,0.0,0.0,2.0
Brandon Paul,0.0,0.0,0.0,0.0
Brandon Rush,0.0,0.0,0.0,2.0
Brandon Sampson,0.0,0.0,0.0,0.0
Brandon Williams,0.0,0.0,0.0,0.0
Braxton Key,0.0,0.0,0.0,0.0
Brian Bowen II,0.0,0.0,0.0,1.0
Brian Roberts,0.25,1.0,0.4,1.0
Briante Weber,0.0,0.0,0.0,0.0
Brice Johnson,0.0,0.0,0.0,0.0
Brodric Thomas,0.0,0.0,0.0,1.0
Brook Lopez,0.25,0.5,0.3333333333333333,4.0
Bruce Brown,0.0,0.0,0.0,2.0
Bruno Caboclo,0.0,0.0,0.0,1.0
Bruno Fernando,0.0,0.0,0.0,2.0
Bryce Cotton,0.0,0.0,0.0,1.0
Bryce Dejean-Jones,0.0,0.0,0.0,1.0
Bryce McGowens,0.0,0.0,0.0,0.0
Bryn Forbes,0.0,0.0,0.0,0.0
