,precision,recall,f1-score,support,Groupe
A.J. Lawson,0.0,0.0,0.0,0.0,Faible
AJ Green,0.0,0.0,0.0,0.0,Faible
AJ Griffin,0.0,0.0,0.0,1.0,Faible
AJ Hammons,0.0,0.0,0.0,0.0,Faible
AJ Price,0.0,0.0,0.0,0.0,Faible
Aaron Brooks,0.0,0.0,0.0,0.0,Faible
Aaron Gordon,0.25,0.5,0.3333333333333333,4.0,Faible
Aaron Gray,0.0,0.0,0.0,0.0,Faible
Aaron Harrison,0.0,0.0,0.0,2.0,Faible
Aaron Henry,0.0,0.0,0.0,0.0,Faible
Aaron Holiday,0.0,0.0,0.0,1.0,Faible
Aaron Jackson,0.0,0.0,0.0,1.0,Faible
Aaron Nesmith,0.0,0.0,0.0,0.0,Faible
Aaron Wiggins,0.0,0.0,0.0,0.0,Faible
Abdel Nader,0.14285714285714285,1.0,0.25,1.0,Faible
Adam Mokoka,0.0,0.0,0.0,1.0,Faible
Ade Murkey,0.0,0.0,0.0,0.0,Faible
Admiral Schofield,0.0,0.0,0.0,0.0,Faible
Adonis Thomas,0.0,0.0,0.0,1.0,Faible
Adreian Payne,0.0,0.0,0.0,2.0,Faible
Ahmad Caver,0.0,0.0,0.0,1.0,Faible
Al Harrington,0.0,0.0,0.0,0.0,Faible
Al Horford,0.15384615384615385,1.0,0.2666666666666667,2.0,Faible
Al Jefferson,0.0,0.0,0.0,0.0,Faible
Al-Farouq Aminu,0.5,0.3333333333333333,0.4,3.0,Faible
Alan Anderson,0.2,0.5,0.28571428571428575,2.0,Faible
Alan Williams,0.16666666666666666,1.0,0.2857142857142857,1.0,Faible
Alec Burks,0.0625,0.2,0.09523809523809523,5.0,Faible
Alec Peters,0.0,0.0,0.0,0.0,Faible
Aleksej Pokusevski,0.0,0.0,0.0,1.0,Faible
Alen Smailagic,0.0,0.0,0.0,0.0,Faible
Alex Abrines,0.3333333333333333,1.0,0.5,1.0,Faible
Alex Caruso,0.0,0.0,0.0,1.0,Faible
Alex Kirk,0.0,0.0,0.0,0.0,Faible
Alex Len,0.0,0.0,0.0,0.0,Faible
Alex Poythress,0.0,0.0,0.0,1.0,Faible
Alex Stepheson,0.0,0.0,0.0,0.0,Faible
Alexey Shved,0.0,0.0,0.0,0.0,Faible
Alexis Ajinca,0.25,0.5,0.3333333333333333,2.0,Faible
Alfonzo McKinnie,0.0,0.0,0.0,0.0,Faible
Alize Johnson,0.0,0.0,0.0,4.0,Faible
Allen Crabbe,0.14285714285714285,0.5,0.22222222222222224,2.0,Faible
Allonzo Trier,0.0,0.0,0.0,1.0,Faible
Alondes Williams,0.0,0.0,0.0,1.0,Faible
Alonzo Gee,0.0,0.0,0.0,2.0,Faible
Amar'e Stoudemire,1.0,1.0,1.0,1.0,Fort
Amida Brimah,0.0,0.0,0.0,1.0,Faible
Amile Jefferson,0.0,0.0,0.0,1.0,Faible
Amir Coffey,0.0,0.0,0.0,3.0,Faible
Amir Johnson,0.125,0.5,0.2,2.0,Faible
Anderson Varejao,0.0,0.0,0.0,1.0,Faible
Andray Blatche,0.0,0.0,0.0,0.0,Faible
Andre Dawkins,0.0,0.0,0.0,0.0,Faible
Andre Drummond,1.0,0.5714285714285714,0.7272727272727273,7.0,Fort
Andre Iguodala,0.0,0.0,0.0,3.0,Faible
Andre Miller,0.0,0.0,0.0,1.0,Faible
Andre Roberson,0.0,0.0,0.0,3.0,Faible
Andrei Kirilenko,0.0,0.0,0.0,1.0,Faible
Andrew Bogut,0.5,0.3333333333333333,0.4,3.0,Faible
Andrew Bynum,0.0,0.0,0.0,0.0,Faible
Andrew Goudelock,0.0,0.0,0.0,2.0,Faible
Andrew Harrison,0.0,0.0,0.0,1.0,Faible
Andrew Nembhard,0.0,0.0,0.0,0.0,Faible
Andrew Nicholson,0.0,0.0,0.0,4.0,Faible
Andrew White III,0.0,0.0,0.0,1.0,Faible
Andrew Wiggins,0.5,0.3333333333333333,0.4,3.0,Faible
Andris Biedrins,0.0,0.0,0.0,1.0,Faible
Anfernee Simons,0.0,0.0,0.0,1.0,Faible
Angel Delgado,0.0,0.0,0.0,1.0,Faible
Antawn Jamison,0.0,0.0,0.0,1.0,Faible
Ante Zizic,0.0,0.0,0.0,1.0,Faible
Anthony Bennett,0.0,0.0,0.0,1.0,Faible
Anthony Brown,0.0,0.0,0.0,3.0,Faible
Anthony Davis,0.0,0.0,0.0,2.0,Faible
Anthony Edwards,0.0,0.0,0.0,0.0,Faible
Anthony Gill,0.0,0.0,0.0,0.0,Faible
Anthony Lamb,0.0,0.0,0.0,2.0,Faible
Anthony Morrow,0.0,0.0,0.0,0.0,Faible
Anthony Randolph,0.0,0.0,0.0,1.0,Faible
Anthony Tolliver,0.25,0.5,0.3333333333333333,4.0,Faible
Antonio Blakeney,0.0,0.0,0.0,1.0,Faible
Antonius Cleveland,0.0,0.0,0.0,0.0,Faible
Anzejs Pasecniks,0.0,0.0,0.0,0.0,Faible
Archie Goodwin,0.0,0.0,0.0,2.0,Faible
Arinze Onuaku,0.0,0.0,0.0,1.0,Faible
Armoni Brooks,0.0,0.0,0.0,0.0,Faible
Arnett Moultrie,0.0,0.0,0.0,0.0,Faible
Arnoldas Kulboka,0.0,0.0,0.0,0.0,Faible
Aron Baynes,0.16666666666666666,1.0,0.2857142857142857,2.0,Faible
Arron Afflalo,0.0,0.0,0.0,4.0,Faible
Austin Daye,0.0,0.0,0.0,1.0,Faible
Austin Reaves,0.0,0.0,0.0,0.0,Faible
Austin Rivers,0.3,0.5,0.37499999999999994,6.0,Faible
Avery Bradley,0.0,0.0,0.0,4.0,Faible
Axel Toupane,0.0,0.0,0.0,0.0,Faible
Ayo Dosunmu,0.0,0.0,0.0,0.0,Faible
BJ Johnson,0.0,0.0,0.0,2.0,Faible
Bam Adebayo,0.0,0.0,0.0,5.0,Faible
Ben Bentil,0.0,0.0,0.0,1.0,Faible
Ben Gordon,0.0,0.0,0.0,1.0,Faible
Ben Hansbrough,0.0,0.0,0.0,0.0,Faible
Ben McLemore,0.0,0.0,0.0,1.0,Faible
Ben Moore,0.0,0.0,0.0,0.0,Faible
Ben Simmons,1.0,1.0,1.0,2.0,Fort
Beno Udrih,0.0,0.0,0.0,1.0,Faible
Bernard James,0.0,0.0,0.0,1.0,Faible
Billy Garrett,0.0,0.0,0.0,0.0,Faible
Bismack Biyombo,0.0,0.0,0.0,1.0,Faible
Blake Griffin,0.06666666666666667,0.3333333333333333,0.1111111111111111,3.0,Faible
Blake Wesley,0.0,0.0,0.0,0.0,Faible
